[Wed May 13 21:27:20.160376 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   8. CodeIgniter\\Database\\MySQLi\\Result->getFirstRow() /Users/me/Sites/ytuber-ci4.local/system/Model.php:383
[Wed May 13 21:27:20.160406 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP   9. CodeIgniter\\Database\\MySQLi\\Result->getResult() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:468
[Wed May 13 21:27:20.160436 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP  10. CodeIgniter\\Database\\MySQLi\\Result->getCustomResultObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:142
[Wed May 13 21:27:20.160465 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP  11. CodeIgniter\\Database\\MySQLi\\Result->fetchObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:195
[Wed May 13 21:27:20.160495 2020] [php7:notice] [pid 2543] [client 127.0.0.1:59981] PHP  12. mysqli_result->fetch_object() /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php:169
[Wed May 13 21:28:17.718562 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP Fatal error:  Class 'App\\Entities\\AccountsGoogleYoutube' not found in /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php on line 169
[Wed May 13 21:28:17.718730 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP Stack trace:
[Wed May 13 21:28:17.718763 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   1. {main}() /Users/me/Sites/ytuber-ci4.local/public/index.php:0
[Wed May 13 21:28:17.718792 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   2. CodeIgniter\\CodeIgniter->run() /Users/me/Sites/ytuber-ci4.local/public/index.php:45
[Wed May 13 21:28:17.718820 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   3. CodeIgniter\\CodeIgniter->handleRequest() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:308
[Wed May 13 21:28:17.718848 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   4. CodeIgniter\\CodeIgniter->runController() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:400
[Wed May 13 21:28:17.718875 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   5. App\\Controllers\\Tasks->test() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:914
[Wed May 13 21:28:17.718902 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   6. App\\Entities\\Account->getAccountData() /Users/me/Sites/ytuber-ci4.local/app/Controllers/Tasks.php:21
[Wed May 13 21:28:17.718929 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   7. App\\Models\\AccountGoogleYoutubeModel->find() /Users/me/Sites/ytuber-ci4.local/app/Entities/Account.php:57
[Wed May 13 21:28:17.718956 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   8. CodeIgniter\\Database\\MySQLi\\Result->getFirstRow() /Users/me/Sites/ytuber-ci4.local/system/Model.php:383
[Wed May 13 21:28:17.718982 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP   9. CodeIgniter\\Database\\MySQLi\\Result->getResult() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:468
[Wed May 13 21:28:17.719009 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP  10. CodeIgniter\\Database\\MySQLi\\Result->getCustomResultObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:142
[Wed May 13 21:28:17.719036 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP  11. CodeIgniter\\Database\\MySQLi\\Result->fetchObject() /Users/me/Sites/ytuber-ci4.local/system/Database/BaseResult.php:195
[Wed May 13 21:28:17.719063 2020] [php7:notice] [pid 442] [client 127.0.0.1:59983] PHP  12. mysqli_result->fetch_object() /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php:169
[Wed May 13 21:28:33.073422 2020] [php7:notice] [pid 2542] [client 127.0.0.1:60004] PHP Fatal error:  Class 'App\\Entities\\AccountsGoogleYoutube' not found in /Users/me/Sites/ytuber-ci4.local/system/Database/MySQLi/Result.php on line 169
[Wed May 13 21:28:33.073584 2020] [php7:notice] [pid 2542] [client 127.0.0.1:60004] PHP Stack trace:
[Wed May 13 21:28:33.073618 2020] [php7:notice] [pid 2542] [client 127.0.0.1:60004] PHP   1. {main}() /Users/me/Sites/ytuber-ci4.local/public/index.php:0
[Wed May 13 21:28:33.073650 2020] [php7:notice] [pid 2542] [client 127.0.0.1:60004] PHP   2. CodeIgniter\\CodeIgniter->run() /Users/me/Sites/ytuber-ci4.local/public/index.php:45
[Wed May 13 21:28:33.073680 2020] [php7:notice] [pid 2542] [client 127.0.0.1:60004] PHP   3. CodeIgniter\\CodeIgniter->handleRequest() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:308
[Wed May 13 21:28:33.073709 2020] [php7:notice] [pid 2542] [client 127.0.0.1:60004] PHP   4. CodeIgniter\\CodeIgniter->runController() /Users/me/Sites/ytuber-ci4.local/system/CodeIgniter.php:400
